ObjectID,PID,Civic.Number,Street,Full.Civic.Address,Closest.University,DestinationRank,Total_Length
7159,93476,5315,SOUTH ST,5315 SOUTH ST, Sexton Campus,1,272.528782
7160,93476,5317,SOUTH ST,5317 SOUTH ST, Sexton Campus,1,274.2397572
7161,93484,5321,SOUTH ST,5321 SOUTH ST, Sexton Campus,1,281.1727072
7162,93484,5323,SOUTH ST,5323 SOUTH ST, Sexton Campus,1,288.5549455
7163,93492,1211,QUEEN ST,1211 QUEEN ST, Sexton Campus,1,282.234987
7164,93500,1215,QUEEN ST,1215 QUEEN ST, Sexton Campus,1,272.9657281
7165,93500,1217,QUEEN ST,1217 QUEEN ST, Sexton Campus,1,275.7740373
7166,93518,1221,QUEEN ST,1221 QUEEN ST, Sexton Campus,1,266.1563786
7167,93526,1223,QUEEN ST,1223 QUEEN ST, Sexton Campus,1,259.2088873
7168,93542,1229,QUEEN ST,1229 QUEEN ST, Sexton Campus,1,241.9576946
7169,93559,1233,QUEEN ST,1233 QUEEN ST, Sexton Campus,1,236.1131944
7170,93559,1235,QUEEN ST,1235 QUEEN ST, Sexton Campus,1,229.2526016
7171,93567,1239,QUEEN ST,1239 QUEEN ST, Sexton Campus,1,220.4685425
7172,93575,1243,QUEEN ST,1243 QUEEN ST, Sexton Campus,1,213.5108906
7173,93583,1247,QUEEN ST,1247 QUEEN ST, Sexton Campus,1,203.8673485
7174,93583,1249,QUEEN ST,1249 QUEEN ST, Sexton Campus,1,194.3024881
7175,93591,1257,QUEEN ST,1257 QUEEN ST, Sexton Campus,1,182.0512377
7176,93609,1263,QUEEN ST,1263 QUEEN ST, Sexton Campus,1,159.8588103
7177,93633,5300,MORRIS ST,5300 MORRIS ST, Sexton Campus,1,36.6296957
7178,93641,5560,MORRIS ST,5560 MORRIS ST, Sexton Campus,1,123.1201033
7179,93641,5562,MORRIS ST,5562 MORRIS ST, Sexton Campus,1,129.4786241
7180,93658,1278,QUEEN ST,1278 QUEEN ST, Sexton Campus,1,138.7530335
7181,93666,1268,QUEEN ST,1268 QUEEN ST, Sexton Campus,1,149.5457377
7182,93666,1270,QUEEN ST,1270 QUEEN ST, Sexton Campus,1,145.2528107
7183,93666,1272,QUEEN ST,1272 QUEEN ST, Sexton Campus,1,147.9128837
7184,93666,1274,QUEEN ST,1274 QUEEN ST, Sexton Campus,1,146.5360903
7185,93674,1266,QUEEN ST,1266 QUEEN ST, Sexton Campus,1,160.1325932
7186,93708,1246,QUEEN ST,1246 QUEEN ST, Sexton Campus,1,198.3426995
7187,93716,1249,SOUTH PARK ST,1249 SOUTH PARK ST, Sexton Campus,1,538.5377679
7188,93724,1259,SOUTH PARK ST,1259 SOUTH PARK ST, Carlton Campus,1,438.8035936
7189,93732,1263,SOUTH PARK ST,1263 SOUTH PARK ST, Carlton Campus,1,422.2916582
7190,93740,1267,SOUTH PARK ST,1267 SOUTH PARK ST, Carlton Campus,1,405.6815223
7191,93757,1275,SOUTH PARK ST,1275 SOUTH PARK ST, Carlton Campus,1,394.5067434
7192,93765,1279,SOUTH PARK ST,1279 SOUTH PARK ST, Carlton Campus,1,385.4032782
7193,93773,1283,SOUTH PARK ST,1283 SOUTH PARK ST, Carlton Campus,1,375.9576416
7194,93781,1289,SOUTH PARK ST,1289 SOUTH PARK ST, Carlton Campus,1,364.9226053
7195,93799,1293,SOUTH PARK ST,1293 SOUTH PARK ST, Carlton Campus,1,364.4326868
7196,93807,5676,MORRIS ST,5676 MORRIS ST, Sexton Campus,1,376.5043908
7197,93807,5678,MORRIS ST,5678 MORRIS ST, Sexton Campus,1,379.9787365
7198,93815,5670,MORRIS ST,5670 MORRIS ST, Sexton Campus,1,365.7800623
7199,93815,5672,MORRIS ST,5672 MORRIS ST, Sexton Campus,1,368.6392913
7200,93831,5660,MORRIS ST,5660 MORRIS ST, Sexton Campus,1,346.3411123
7201,93849,5656,MORRIS ST,5656 MORRIS ST, Sexton Campus,1,333.2992475
7202,93856,5654,MORRIS ST,5654 MORRIS ST, Sexton Campus,1,323.6556949
7203,93864,5648,MORRIS ST,5648 MORRIS ST, Sexton Campus,1,310.0267352
7204,93864,5648A,MORRIS ST,5648A MORRIS ST, Sexton Campus,1,313.4435476
7205,93872,1280,WRIGHT AVE,1280 WRIGHT AVE, Sexton Campus,1,360.6594361
7206,93880,1290,WRIGHT AVE,1290 WRIGHT AVE, Sexton Campus,1,314.3822001
7207,93880,5642,MORRIS ST,5642 MORRIS ST, Sexton Campus,1,305.0202691
