ObjectID_1,PID,Civic.Number,Street,Full.Civ.Add,Closest.Uni,Dist.Uni,Destination,Dist.CBD
8361,115691,5528,CABOT PL,5528 CABOT PL,Carlton Campus,3700.86111,City Hall,3168.416842
8362,115709,5522,CABOT PL,5522 CABOT PL,Carlton Campus,3709.982489,City Hall,3177.538222
8363,115717,5520,CABOT PL,5520 CABOT PL,Carlton Campus,3717.32378,City Hall,3184.879513
8364,115725,5518,CABOT PL,5518 CABOT PL,Carlton Campus,3722.962994,City Hall,3185.445123
8365,115733,5514,CABOT PL,5514 CABOT PL,Carlton Campus,3729.978909,City Hall,3178.429209
8366,115741,5508,CABOT PL,5508 CABOT PL,Carlton Campus,3745.151774,City Hall,3163.256343
8367,115741,5512,CABOT PL,5512 CABOT PL,Carlton Campus,3738.977371,City Hall,3169.430747
8368,115758,5507,MERKEL PL,5507 MERKEL PL,Carlton Campus,3718.476556,City Hall,3133.445187
8369,115758,5511,MERKEL PL,5511 MERKEL PL,Carlton Campus,3711.606132,City Hall,3140.315611
8370,115766,5513,MERKEL PL,5513 MERKEL PL,Carlton Campus,3700.358602,City Hall,3151.563141
8371,115774,5517,MERKEL PL,5517 MERKEL PL,Carlton Campus,3693.683651,City Hall,3158.238092
8372,115782,5519,MERKEL PL,5519 MERKEL PL,Carlton Campus,3652.307687,City Hall,3119.863419
8373,115790,5523,MERKEL PL,5523 MERKEL PL,Carlton Campus,3644.898475,City Hall,3112.454208
8374,115808,5529,MERKEL PL,5529 MERKEL PL,Carlton Campus,3672.640444,City Hall,3140.196177
8375,115816,5531,MERKEL PL,5531 MERKEL PL,Carlton Campus,3665.599782,City Hall,3133.155515
8376,115824,5533,MERKEL PL,5533 MERKEL PL,Carlton Campus,3660.300193,City Hall,3127.855926
8377,115832,5537,MERKEL PL,5537 MERKEL PL,Carlton Campus,3654.99929,City Hall,3122.555023
8378,115840,5539,MERKEL PL,5539 MERKEL PL,Carlton Campus,3648.992605,City Hall,3116.548337
8379,115857,5541,MERKEL PL,5541 MERKEL PL,Carlton Campus,3644.736584,City Hall,3112.292317
8380,115865,5545,MERKEL PL,5545 MERKEL PL,Carlton Campus,3631.329493,City Hall,3098.885226
8381,115873,5549,MERKEL PL,5549 MERKEL PL,Carlton Campus,3626.06418,City Hall,3093.619913
8382,115881,5551,MERKEL PL,5551 MERKEL PL,Carlton Campus,3586.203273,City Hall,3053.759005
8383,115899,5555,MERKEL PL,5555 MERKEL PL,Carlton Campus,3586.98189,City Hall,3054.537622
8384,115907,5526,CABOT PL,5526 CABOT PL,Carlton Campus,3705.408963,City Hall,3172.964696
8385,115915,5552,SEBASTIAN PL,5552 SEBASTIAN PL,Carlton Campus,3708.20619,City Hall,3175.761923
8386,115923,5550,SEBASTIAN PL,5550 SEBASTIAN PL,Carlton Campus,3735.285185,City Hall,3202.840918
8387,115931,5548,SEBASTIAN PL,5548 SEBASTIAN PL,Carlton Campus,3740.571973,City Hall,3208.127706
8388,115949,5546,SEBASTIAN PL,5546 SEBASTIAN PL,Carlton Campus,3748.025276,City Hall,3215.581009
8389,115956,5540,SEBASTIAN PL,5540 SEBASTIAN PL,Carlton Campus,3756.126187,City Hall,3223.681919
8390,115964,5538,SEBASTIAN PL,5538 SEBASTIAN PL,Carlton Campus,3763.579479,City Hall,3231.135212
8391,115972,5536,SEBASTIAN PL,5536 SEBASTIAN PL,Carlton Campus,3769.231262,City Hall,3236.786994
8392,115980,5534,SEBASTIAN PL,5534 SEBASTIAN PL,Carlton Campus,3774.883039,City Hall,3242.438772
8393,115998,5532,SEBASTIAN PL,5532 SEBASTIAN PL,Carlton Campus,3780.899819,City Hall,3248.455551
8394,116004,5530,SEBASTIAN PL,5530 SEBASTIAN PL,Carlton Campus,3785.576651,City Hall,3253.132383
8395,116012,2700,CONNOLLY ST,2700 CONNOLLY ST,Studley Campus,1819.784845,City Hall,2673.385818
8396,116020,2686,CONNOLLY ST,2686 CONNOLLY ST,Studley Campus,1807.301378,City Hall,2660.902351
8397,116020,2688,CONNOLLY ST,2688 CONNOLLY ST,Studley Campus,1809.702626,City Hall,2663.303599
8398,116038,2682,CONNOLLY ST,2682 CONNOLLY ST,Studley Campus,1808.186463,City Hall,2661.787436
8399,116046,6519,SUMMIT ST,6519 SUMMIT ST,Studley Campus,1832.423032,City Hall,2686.024005
8400,116053,6527,SUMMIT ST,6527 SUMMIT ST,Studley Campus,1844.844414,City Hall,2698.445387
8401,116061,6531,SUMMIT ST,6531 SUMMIT ST,Studley Campus,1856.1641,City Hall,2709.765073
8402,116079,6535,SUMMIT ST,6535 SUMMIT ST,Studley Campus,1868.171977,City Hall,2721.77295
8403,116087,6541,VIENNA ST,6541 VIENNA ST,Studley Campus,1965.420032,City Hall,2819.021005
8404,116087,6543,VIENNA ST,6543 VIENNA ST,Studley Campus,1971.420815,City Hall,2825.021788
8405,116095,2739,SWAINE ST,2739 SWAINE ST,Studley Campus,1987.294078,City Hall,2840.895051
8406,116095,2741,SWAINE ST,2741 SWAINE ST,Studley Campus,1983.561719,City Hall,2837.162692
8407,116103,2743,SWAINE ST,2743 SWAINE ST,Studley Campus,1995.035689,City Hall,2848.636662
8408,116111,2751,SWAINE ST,2751 SWAINE ST,Studley Campus,2009.570605,City Hall,2863.171578
8409,116129,2757,SWAINE ST,2757 SWAINE ST,Studley Campus,2019.833311,City Hall,2873.434284
8410,116137,6544,BERLIN ST,6544 BERLIN ST,Studley Campus,2048.116254,City Hall,2901.717227
8411,116145,6538,BERLIN ST,6538 BERLIN ST,Studley Campus,2036.648897,City Hall,2890.24987
8412,116152,6532,BERLIN ST,6532 BERLIN ST,Studley Campus,2023.487881,City Hall,2877.088854
8413,116160,6528,BERLIN ST,6528 BERLIN ST,Studley Campus,2011.469982,City Hall,2865.070955
